rank_mean_abs_shap,feature,feature_group,mean_abs_shap,std_abs_shap,mean_shap,mean_std_coef,std_std_coef,mean_abs_std_coef,direction,n_folds_pos_coef,n_folds_neg_coef,mean_perm_mae_increase,std_perm_mae_increase
1,month,calendar,203.71162446602855,71.6331441475943,27.745723163822582,208.59288137358664,16.27097477012973,208.59288137358664,+,4,0,151.95179173344195,78.70481608764645
2,day_of_year,calendar,203.4352229514505,72.74980260299347,-27.605182036969165,-207.77099342280803,17.055469287985428,207.77099342280803,-,0,4,151.91822594345996,82.6468960073094
3,generation_wind_onshore_lag_24,historical_generation,24.67949768303658,2.5098516654127314,0.5863375792186949,-31.37405584993823,1.4625917186719388,31.37405584993823,-,0,4,28.056800173468396,4.186298982896488
4,renewable_generation_lag_24,historical_generation,21.011649598623222,2.6465082388129493,-6.770272367341244,26.555410313932953,1.8172728116046328,26.555410313932953,+,4,0,21.844724026653562,2.828115495735129
5,clouds_all_national_mean_lag_24,weather_aggregate,20.958814374642934,3.085791613133609,1.761777774845055,-26.99959205900248,2.330744694170852,26.99959205900248,-,0,4,23.042821256352255,5.532401401791402
6,generation_hydro_water_reservoir_lag_24,historical_generation,16.384069851559996,1.1528293888497787,8.169862258909488,-20.10211176253696,1.0310683270207603,20.10211176253696,-,0,4,12.526583544034,3.925372378448306
7,price_mean_lag24_lag48,historical_target,15.952121830176903,4.542189798752719,-9.203638021320563,-22.0862455571464,4.492416148076684,22.0862455571464,-,0,4,15.16106799995833,5.488240102456723
8,day_of_month,calendar,15.639938095538914,1.1470366014987337,0.36974176041863116,18.276332113688387,1.0532820418160993,18.276332113688387,+,4,0,15.923166262913515,1.3478601390130598
9,generation_solar_lag_24,historical_generation,13.422505052492296,0.8118134717738984,0.4657856551363134,-15.718511518016669,0.571460266905604,15.718511518016669,-,0,4,12.314565971766445,1.504456316064145
10,total_generation_lag_24,historical_generation,13.040687348537412,0.5909517329512394,-0.8753175456240518,14.732079799499838,0.42810376702114816,14.732079799499838,+,4,0,13.493120989886403,0.7459826792052201
11,price_day_ahead_lag_24,historical_target,11.125564578969797,2.742349144901632,5.888030219766245,15.453199283203048,2.55235662855077,15.453199283203048,+,4,0,10.50471678035594,3.0500035631951006
12,clouds_all_bilbao_lag_24,historical_weather,9.783022989287232,0.9979502637047474,-0.535239694635751,10.650934877576624,0.9591598445999265,10.650934877576624,+,4,0,7.9603504300251835,1.3495654492279547
13,clouds_all_national_mean_lag_168,weather_aggregate,8.593784017764923,2.231441387786274,0.9392991930756447,-11.111022245684227,2.8609467430767483,11.111022245684227,-,0,4,7.468157407201355,2.9624097031484955
14,wind_speed_national_mean_lag_24,weather_aggregate,7.991009886539928,1.6045971990091163,1.0869134074635538,-9.984565490351295,1.918074377540712,9.984565490351295,-,0,4,6.184003379615566,2.821287957792432
15,generation_wind_onshore_lag_168,historical_generation,7.864313148049165,1.5090255765424,-0.021544319516386468,-9.838818408002597,0.9370907684747782,9.838818408002597,-,0,4,6.666104618265599,1.7817882225104158
16,renewable_generation_lag_168,historical_generation,7.7513443449386275,1.2804689333703472,-2.2934620334984888,9.666559502806956,0.4101579390015769,9.666559502806956,+,4,0,5.979647267783827,1.8394796699444766
17,clouds_all_madrid_lag_24,historical_weather,7.635493344844754,1.268879853677421,-0.251501733240636,9.237546422802243,0.7777738853235102,9.237546422802243,+,4,0,5.710153176530782,2.437186360701189
18,price_day_ahead_lag_48,historical_target,7.548916661609148,2.2783261033919193,4.025206126581378,10.501767395264288,2.4285824179674065,10.501767395264288,+,4,0,6.192132664069394,2.1088495648163774
19,clouds_all_barcelona_lag_24,historical_weather,7.378733232407795,1.0263717538989257,-0.29439782077934085,8.267883112729,0.8569866201232229,8.267883112729,+,4,0,5.96744473050728,1.3529304850262498
20,clouds_all_seville_lag_24,historical_weather,6.307634146119968,0.8678835150840505,-0.5196439090886703,8.329455519065462,0.7079884518761045,8.329455519065462,+,4,0,4.32337125307591,1.8320891521980385
21,forecast_wind_share_of_load,day_ahead_forecast,6.021064143459064,0.6822140612001973,0.34363611829514057,-7.831705799551392,0.42785267968662866,7.831705799551392,-,0,4,3.9977877779646,1.1955599405972874
22,clouds_all_valencia_lag_24,historical_weather,5.773912301138216,1.1765046577725402,-0.1936947971632743,8.430999253173269,0.6986051579449201,8.430999253173269,+,4,0,4.564547074286028,1.2437910178678677
23,humidity_national_mean_lag_24,weather_aggregate,5.419004461400464,0.983542996969902,-0.11332585572580098,5.735887549126373,0.9246921095015226,5.735887549126373,+,4,0,3.081174813039051,0.6231019591026534
24,generation_hydro_run_of_river_and_poundage_lag_24,historical_generation,5.123367228895618,1.0478428216503144,1.2379786314954324,-5.684702771047279,0.13288516816327137,5.684702771047279,-,0,4,2.6952575357488,1.0292083542403607
25,total_generation_lag_168,historical_generation,4.978064253138121,0.4998624994859651,-0.2836132244192816,5.59626524924076,0.573676644815431,5.59626524924076,+,4,0,3.1976032439458724,0.5828989412181566
26,price_mean_lag24_lag48_lag168,historical_target,4.905553578535844,1.174508349609337,3.097247492215969,6.728445373655641,1.0458798978899064,6.728445373655641,+,4,0,2.9840365200886816,1.0852522347732825
27,generation_solar_lag_168,historical_generation,4.822236808935461,0.37635333802360743,0.20033463096016002,-5.650766762847592,0.5514922260332562,5.650766762847592,-,0,4,2.851231578572386,0.549040163175512
28,generation_hydro_water_reservoir_lag_168,historical_generation,4.805533498726957,0.5269875527208743,2.2617410794279706,-5.852481839362252,0.5658363909288582,5.852481839362252,-,0,4,2.1535273551558722,1.189308177172932
29,generation_fossil_gas_lag_24,historical_generation,4.733119555647723,0.9720153551729566,-2.351951958113982,-4.668640704219871,0.8583430309899728,4.668640704219871,-,0,4,3.359313828546396,1.0847057225134695
30,total_load_forecast,day_ahead_forecast,4.467287528451864,0.10319630802532533,0.3699890919943071,5.23163400029759,0.17506472325510136,5.23163400029759,+,4,0,2.5967632329206296,0.19721493653249722
31,month_sin,calendar,4.108033928863922,1.5512719624688445,-0.21357618718320687,-4.296287204216318,1.6171112724239494,4.296287204216318,-,0,4,1.0682157565208346,1.0964972282481935
32,generation_fossil_hard_coal_lag_24,historical_generation,3.9255689856662164,0.8812581449576866,0.5940084295316397,-5.405206996578301,0.9960917117825966,5.405206996578301,-,0,4,1.775268154653617,0.7053503706993318
33,clouds_all_bilbao_lag_168,historical_weather,3.9201621328746294,0.9142994753105992,-0.14192533204481683,4.273477852820568,1.1118949204761122,4.273477852820568,+,4,0,1.879837479862444,0.8831937031326087
34,wind_speed_national_mean_lag_168,weather_aggregate,3.4528668874038018,1.2982622851314238,0.3085595544212799,-4.283976633071923,1.5661598039499038,4.283976633071923,-,0,4,1.8243374649933308,1.2784334102666823
35,clouds_all_madrid_lag_168,historical_weather,2.9125476122256613,0.863832030968286,-0.18315471809317108,3.5769510260494295,1.0402837354561143,3.5769510260494295,+,4,0,1.4285397079956914,1.0664580075084862
36,clouds_all_barcelona_lag_168,historical_weather,2.744390672849549,0.8455003298734276,-0.1463801903609081,3.100335784249358,0.8986953407278063,3.100335784249358,+,4,0,1.2766193385056972,0.9160683803739316
37,total_load_actual_lag_24,historical_load,2.651886507939152,0.318935704414506,-0.249080717079805,-3.094608646129249,0.3994376903313896,3.094608646129249,-,0,4,1.0654321119727455,0.37923202276099666
