feature,feature_group,coefficient,abs_coefficient
day_of_year,calendar,-201.17535251087983,201.17535251087983
month,calendar,200.13061298757245,200.13061298757245
price_mean_lag24_lag48,historical_target,-31.65692667399445,31.65692667399445
generation_wind_onshore_lag_24,historical_generation,-30.735606126992785,30.735606126992785
renewable_generation_lag_24,historical_generation,21.48462994438401,21.48462994438401
price_day_ahead_lag_24,historical_target,21.10859810368711,21.10859810368711
generation_hydro_water_reservoir_lag_24,historical_generation,-19.250930187177254,19.250930187177254
total_generation_lag_24,historical_generation,18.872219966948833,18.872219966948833
clouds_all_national_mean_lag_168,weather_aggregate,-17.383689971921108,17.383689971921108
day_of_month,calendar,16.850602459731125,16.850602459731125
price_day_ahead_lag_48,historical_target,15.374692284588159,15.374692284588159
generation_solar_lag_24,historical_generation,-14.955782774065712,14.955782774065712
clouds_all_national_mean_lag_24,weather_aggregate,-14.560815497444148,14.560815497444148
wind_speed_national_mean_lag_24,weather_aggregate,-12.778972529096057,12.778972529096057
generation_wind_onshore_lag_168,historical_generation,-10.893472189383347,10.893472189383347
forecast_wind_share_of_load,day_ahead_forecast,-10.318950039312922,10.318950039312922
price_mean_lag24_lag48_lag168,historical_target,8.59389916282335,8.59389916282335
generation_fossil_gas_lag_24,historical_generation,-8.449286482559442,8.449286482559442
renewable_generation_lag_168,historical_generation,8.194548780765635,8.194548780765635
generation_fossil_hard_coal_lag_24,historical_generation,-7.540712935304201,7.540712935304201
wind_speed_national_mean_lag_168,weather_aggregate,-7.345020448829734,7.345020448829734
total_generation_lag_168,historical_generation,6.984979756566558,6.984979756566558
clouds_all_bilbao_lag_168,historical_weather,6.691450052023976,6.691450052023976
generation_hydro_water_reservoir_lag_168,historical_generation,-6.335473970151992,6.335473970151992
generation_solar_lag_168,historical_generation,-6.072132105572156,6.072132105572156
generation_hydro_run_of_river_and_poundage_lag_24,historical_generation,-5.913356158410447,5.913356158410447
clouds_all_madrid_lag_168,historical_weather,5.909921002434503,5.909921002434503
clouds_all_bilbao_lag_24,historical_weather,5.831663439849918,5.831663439849918
clouds_all_barcelona_lag_168,historical_weather,5.354353940381266,5.354353940381266
clouds_all_seville_lag_168,historical_weather,5.297475912718997,5.297475912718997
clouds_all_valencia_lag_168,historical_weather,5.171640394366617,5.171640394366617
clouds_all_madrid_lag_24,historical_weather,5.084479932031166,5.084479932031166
month_sin,calendar,-4.960231585130981,4.960231585130981
wind_speed_valencia_lag_24,historical_weather,4.844363448964459,4.844363448964459
clouds_all_barcelona_lag_24,historical_weather,4.800213782590185,4.800213782590185
clouds_all_seville_lag_24,historical_weather,4.519689589597113,4.519689589597113
total_load_forecast,day_ahead_forecast,4.481021329979025,4.481021329979025
clouds_all_valencia_lag_24,historical_weather,4.448424387790345,4.448424387790345
wind_speed_madrid_lag_24,historical_weather,3.963859055647318,3.963859055647318
renewable_share_lag_24,historical_generation,3.897875386725189,3.897875386725189
day_of_year_sin,calendar,3.6260432750283376,3.6260432750283376
wind_speed_bilbao_lag_24,historical_weather,3.6248094049105357,3.6248094049105357
generation_nuclear_lag_24,historical_generation,-3.5838728968371036,3.5838728968371036
wind_speed_barcelona_lag_24,historical_weather,3.5735262958017886,3.5735262958017886
wind_speed_seville_lag_24,historical_weather,3.401837581820878,3.401837581820878
generation_fossil_gas_lag_168,historical_generation,-3.3847390072943146,3.3847390072943146
total_load_actual_lag_24,historical_load,-3.1338073433209512,3.1338073433209512
humidity_national_mean_lag_168,weather_aggregate,2.947897178519144,2.947897178519144
wind_speed_valencia_lag_168,historical_weather,2.795481127767887,2.795481127767887
