hour,MAE
0,5.892319660328859
1,6.456398994582563
2,6.403432411193024
3,6.573208551125235
4,6.348724752693774
5,6.111730388409734
6,5.521713499303214
7,5.577179826895312
8,5.505085106312177
9,5.4601281276108455
10,5.365668917636469
11,5.357922317392659
12,5.345475959850495
13,5.380194822600849
14,5.159236627887165
15,5.174573588935463
16,5.2318434394144155
17,5.095609859193681
18,5.159893658159432
19,5.08759625615194
20,5.0264589417766965
21,4.9009502268271845
22,4.696386232432175
23,4.8596414848207825
