fold,feature,coefficient,abs_coefficient
1,month,222.19685972035992,222.19685972035992
1,day_of_year,-220.37138003616138,220.37138003616138
1,generation_wind_onshore_lag_24,-32.87648321005325,32.87648321005325
1,clouds_all_national_mean_lag_24,-28.196864899260387,28.196864899260387
1,renewable_generation_lag_24,27.54182184852886,27.54182184852886
1,generation_hydro_water_reservoir_lag_24,-21.10972444569168,21.10972444569168
1,day_of_month,20.356380868403434,20.356380868403434
1,generation_solar_lag_24,-16.482930071574216,16.482930071574216
1,price_mean_lag24_lag48,-16.04731369713125,16.04731369713125
1,total_generation_lag_24,14.990613447236566,14.990613447236566
1,generation_wind_onshore_lag_168,-12.72476854713711,12.72476854713711
1,price_day_ahead_lag_24,12.275877037137725,12.275877037137725
1,renewable_generation_lag_168,12.039444378954638,12.039444378954638
1,clouds_all_bilbao_lag_24,11.075633422385376,11.075633422385376
1,clouds_all_national_mean_lag_168,-9.69423726948481,9.69423726948481
1,clouds_all_madrid_lag_24,9.477040345826847,9.477040345826847
1,clouds_all_seville_lag_24,8.74913932788936,8.74913932788936
1,clouds_all_valencia_lag_24,8.715411637529703,8.715411637529703
1,wind_speed_national_mean_lag_24,-8.543862943564003,8.543862943564003
1,clouds_all_barcelona_lag_24,8.365878056330088,8.365878056330088
1,generation_hydro_water_reservoir_lag_168,-7.611535685865295,7.611535685865295
1,forecast_wind_share_of_load,-7.502167640715276,7.502167640715276
1,generation_solar_lag_168,-7.415314327381417,7.415314327381417
1,price_day_ahead_lag_48,7.355280299405982,7.355280299405982
1,total_generation_lag_168,6.985028303349968,6.985028303349968
1,generation_fossil_hard_coal_lag_24,-6.859578859755681,6.859578859755681
1,generation_hydro_run_of_river_and_poundage_lag_24,-5.772764280615179,5.772764280615179
1,total_load_forecast,5.237195411362941,5.237195411362941
1,price_mean_lag24_lag48_lag168,5.218118568566558,5.218118568566558
1,humidity_national_mean_lag_24,5.101326744299526,5.101326744299526
1,generation_fossil_gas_lag_24,-4.873309592994624,4.873309592994624
1,clouds_all_bilbao_lag_168,3.691137254326958,3.691137254326958
1,wind_speed_valencia_lag_24,3.3358906532348946,3.3358906532348946
1,clouds_all_valencia_lag_168,3.1931731485816015,3.1931731485816015
1,wind_speed_madrid_lag_24,3.0119905089395878,3.0119905089395878
1,clouds_all_madrid_lag_168,3.0057358394133002,3.0057358394133002
1,total_load_actual_lag_24,-2.9796780283529487,2.9796780283529487
1,wind_speed_national_mean_lag_168,-2.9432659343207046,2.9432659343207046
1,renewable_share_lag_24,2.8731869572644744,2.8731869572644744
1,generation_nuclear_lag_24,-2.861828681146013,2.861828681146013
1,clouds_all_seville_lag_168,2.8334712510863564,2.8334712510863564
1,humidity_seville_lag_24,-2.7300118206300246,2.7300118206300246
1,generation_fossil_gas_lag_168,-2.6683776664945418,2.6683776664945418
1,clouds_all_barcelona_lag_168,2.6640565832542427,2.6640565832542427
1,forecast_solar_share_of_load,-2.6122314904300254,2.6122314904300254
1,total_load_actual_lag_168,-2.434805665737143,2.434805665737143
1,wind_speed_seville_lag_24,2.4128937814797244,2.4128937814797244
1,wind_speed_bilbao_lag_24,2.3586276210787136,2.3586276210787136
1,wind_speed_barcelona_lag_24,2.2491563534801053,2.2491563534801053
1,generation_fossil_hard_coal_lag_168,-2.155217982748035,2.155217982748035
1,temp_madrid_lag_168,1.9076052823511593,1.9076052823511593
1,temp_seville_lag_24,-1.8534136480390593,1.8534136480390593
1,generation_biomass_lag_24,-1.7868503769610231,1.7868503769610231
1,day_of_year_sin,-1.7057884221142112,1.7057884221142112
1,humidity_valencia_lag_24,-1.6702338234824499,1.6702338234824499
1,humidity_madrid_lag_24,-1.639620856053721,1.639620856053721
1,humidity_national_mean_lag_168,1.601971004914185,1.601971004914185
1,week_of_year,-1.2943103746150972,1.2943103746150972
1,humidity_bilbao_lag_24,-1.2899340076151928,1.2899340076151928
1,humidity_barcelona_lag_24,-1.1982241936430496,1.1982241936430496
1,month_sin,-1.1785745346495666,1.1785745346495666
1,wind_speed_valencia_lag_168,1.1780591421951032,1.1780591421951032
1,fossil_generation_lag_24,-1.1450014126791421,1.1450014126791421
1,quarter,-1.0992284315743885,1.0992284315743885
1,generation_nuclear_lag_168,-1.0501720087433741,1.0501720087433741
1,day_of_year_cos,0.9451304240738808,0.9451304240738808
1,wind_speed_barcelona_lag_168,0.9240690457936721,0.9240690457936721
1,generation_other_renewable_lag_168,-0.9110052693482434,0.9110052693482434
1,generation_hydro_run_of_river_and_poundage_lag_168,-0.8844325058220475,0.8844325058220475
1,wind_speed_seville_lag_168,0.8763219526899775,0.8763219526899775
1,temp_national_mean_lag_24,-0.8630251964967813,0.8630251964967813
1,wind_speed_madrid_lag_168,0.8315715280479125,0.8315715280479125
1,humidity_seville_lag_168,-0.830364452368995,0.830364452368995
1,temp_seville_lag_168,-0.8137011042127132,0.8137011042127132
1,day_of_week,-0.7482036964478083,0.7482036964478083
1,price_std_lag24_lag48_lag168,0.6904457490676469,0.6904457490676469
1,is_month_start,0.6604866514451432,0.6604866514451432
1,total_load_actual_lag_48,0.6128014018504331,0.6128014018504331
1,month_cos,-0.6061959540180366,0.6061959540180366
1,generation_fossil_brown_coal_lignite_lag_24,-0.6006372419273316,0.6006372419273316
1,pressure_madrid_lag_24,-0.579814573849672,0.579814573849672
1,hour_sin,-0.5609112698682194,0.5609112698682194
1,wind_speed_bilbao_lag_168,0.5425929115072522,0.5425929115072522
1,humidity_barcelona_lag_168,-0.5257875069265575,0.5257875069265575
1,price_max_lag24_lag48_lag168,-0.519098012045373,0.519098012045373
1,wind_deg_sin_madrid_lag_24,0.5165455466649116,0.5165455466649116
1,generation_fossil_brown_coal_lignite_lag_168,-0.503714858128051,0.503714858128051
1,forecast_solar_day_ahead,-0.49377200768311846,0.49377200768311846
1,temp_valencia_lag_168,-0.47659591581004157,0.47659591581004157
1,generation_other_lag_168,-0.44501892912540103,0.44501892912540103
1,temp_madrid_lag_24,0.4229095189492833,0.4229095189492833
1,price_min_lag24_lag48_lag168,-0.40694898971198507,0.40694898971198507
1,temp_valencia_lag_24,0.40476810050500117,0.40476810050500117
