fold,regime,threshold,n,MAE,RMSE,bias,y_mean,y_pred_mean,residual_mean
1,ALL,,2980,6.4703735703592935,8.30406932561759,-3.120101246857104,49.07327516778523,45.95317392092813,-3.120101246857104
1,P50+,45.0,1866,6.671601777328148,8.620995581188078,-5.405947542674594,57.9296463022508,52.5236987595762,-5.405947542674594
1,P75+,55.1875,1104,7.921162054969078,9.869959972764804,-7.556642928513833,64.05044384057972,56.49380091206588,-7.556642928513833
1,P90+,62.93,601,9.022590636553948,10.798171766360236,-8.91836045617407,68.02828618968385,59.10992573350979,-8.91836045617407
1,P95+,66.00949999999999,391,10.404911888976573,12.061653091573993,-10.346764139026916,69.96971867007673,59.622954531049814,-10.346764139026916
2,ALL,,2980,5.7149730428349015,7.339460909302308,-3.0119946600084777,51.95262751677853,48.940632856770044,-3.0119946600084777
2,P50+,45.55,2010,6.36900884181746,8.071027751211545,-4.293101509779294,58.70775124378109,54.4146497340018,-4.293101509779294
2,P75+,56.4975,789,9.186043496321401,10.669776286136111,-8.818368844056778,71.28650190114068,62.46813305708391,-8.818368844056778
2,P90+,63.769,483,10.596795737851917,11.902905375146997,-10.336229784083965,78.68861283643894,68.35238305235497,-10.336229784083965
2,P95+,67.1,420,11.030902531673838,12.224750574541885,-10.792052417209387,80.69645238095241,69.90439996374299,-10.792052417209387
3,ALL,,2981,5.158022873896885,6.500249698570653,1.627017833601086,50.48821200939282,52.115229842993905,1.627017833601086
3,P50+,46.325,2158,5.2808219890901285,6.761762033117062,1.2827785139344061,53.86982854494902,55.15260705888343,1.2827785139344061
3,P75+,56.6,409,6.925921151838902,9.090710738098906,-5.819022381260114,64.5774816625917,58.75845928133157,-5.819022381260114
3,P90+,64.2,167,10.878981635615325,12.588150294523066,-10.58687258029646,72.01706586826346,61.430193287967015,-10.58687258029646
3,P95+,68.40800000000003,115,12.727658781494714,13.887175013928479,-12.673934954392225,74.72626086956522,62.052325915172986,-12.673934954392225
4,ALL,,5961,5.466532414380085,7.097088145905229,-2.01206572532103,52.81512330145949,50.80305757613846,-2.01206572532103
4,P50+,47.25,4237,5.323447460153358,6.815377915714187,-3.0123484770892985,59.310351663913146,56.29800318682385,-3.0123484770892985
4,P75+,55.69,2583,5.7602101394399385,7.3241493357882375,-4.128283587831251,64.30296554394116,60.174681956109914,-4.128283587831251
4,P90+,63.98,1141,6.224317084253906,7.8549754633749895,-4.81156935659004,69.75513584574934,64.94356648915931,-4.81156935659004
4,P95+,68.18899999999998,616,6.777182121548611,8.46708818393902,-5.246474843878778,73.05402597402598,67.8075511301472,-5.246474843878778
