model,fold,n_train,n_val,n_trees,p75_bias,p90_bias,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
Ridge_METHOD_B,1,14902,2980,,-5.295373961586462,-6.487586877188704,5.576938959092604,7.342848313782339,0.7498308745777621,13.856886324907139,-1.0825081745266076,-1.0825081745266076,7.262616430137228
LGBM_184,1,14902,2980,200.0,-9.056183587324329,-10.363726219965995,6.591236822894266,8.551801368454647,0.6606719145403924,15.773861562884262,-3.9725312820721204,-3.9725312820721204,7.5731302549514625
LGBM_METHOD_B,1,14902,2980,200.0,-6.211414658822759,-7.084710767287863,6.7252377507200976,8.524114111087973,0.6628655705738156,16.414300008883757,-0.8295739892160472,-0.8295739892160472,8.483650651415656
LGBM_METHOD_B_addend,1,14902,2980,200.0,-6.2601254438019796,-7.133421552267084,6.7327320207821115,8.528992468037977,0.6624795755751296,16.431705156685588,-0.8782847741952685,-0.8782847741952685,8.483650651415656
LGBM_tuned_METHOD_B_addend,1,14902,2980,149.0,-7.1019725255515755,-8.014308874039592,6.812339027259243,8.698631491932126,0.6489196987315257,16.52009501835378,-1.2768436346023422,-1.2768436346023422,8.604409344354139
Ridge_METHOD_B,2,17882,2980,,-9.872615812285353,-12.501409990869373,6.198483524775313,8.080877327797035,0.7053690411790103,12.876033664105673,-4.334786592155098,-4.334786592155098,6.8198389707805065
LGBM_184,2,17882,2980,200.0,-11.584741030911195,-16.109643587513442,6.4749621458413875,8.921347792215586,0.6408943056273593,13.065751833174177,-4.757621489485285,-4.757621489485285,7.546885728064109
LGBM_METHOD_B,2,17882,2980,200.0,-11.388950319936109,-16.239087055466165,7.187130363281667,9.556472986286385,0.5879436377648986,14.739482406523718,-5.079092018154513,-5.079092018154513,8.094998468729969
LGBM_METHOD_B_addend,2,17882,2980,200.0,-11.198217882293358,-16.048354617823414,7.106966014394732,9.456482411400218,0.5965213218232688,14.53400498132687,-4.888359580511762,-4.888359580511762,8.094998468729967
LGBM_tuned_METHOD_B_addend,2,17882,2980,76.0,-11.755994255629886,-16.822221465272648,7.109590995965216,9.704979088797014,0.5750375481631769,14.426670120569424,-4.914315707590579,-4.914315707590579,8.368758584169807
Ridge_METHOD_B,3,20862,2981,,-6.301928066583324,-11.075657383586806,5.061111215960408,6.451975466943607,0.3457339298411942,9.720026650804071,1.7640966209856852,1.7640966209856852,6.206122020865289
LGBM_184,3,20862,2981,200.0,-6.464270704810908,-12.239392555403223,4.291236022787267,5.669249540353104,0.49485026328636017,8.403366597787418,0.01567882027236815,0.01567882027236815,5.6692278597167665
LGBM_METHOD_B,3,20862,2981,200.0,-5.509216416768131,-11.085266133399697,4.465673915654232,5.6800277269254735,0.4929276900731313,8.70120385616245,1.135768686331754,1.135768686331754,5.565316205732645
LGBM_METHOD_B_addend,3,20862,2981,200.0,-5.3806770274372475,-10.956726744068815,4.507035334278296,5.707120060063234,0.48807893386924095,8.770533138403415,1.2643080756626364,1.2643080756626364,5.565316205732645
LGBM_tuned_METHOD_B_addend,3,20862,2981,22.0,-7.991207719782014,-14.35648498886953,4.587835571299454,6.021844519281817,0.4300614146684444,8.821932032108148,1.1493967014502402,1.1493967014502402,5.911133447749236
Ridge_METHOD_B,4,23843,5961,,-2.1125873014957697,-2.779912675826211,5.147556168248194,6.727704795986309,0.7538348126239749,12.020669735187225,-0.006065136464147029,-0.006065136464147029,6.727702062075643
LGBM_184,4,23843,5961,200.0,-6.348798473963515,-7.75324942023043,6.310346085346726,8.268435135684557,0.6281742788043714,14.77107962561294,-3.897876702077782,-3.897876702077782,7.292021448708315
LGBM_METHOD_B,4,23843,5961,200.0,-5.533281348393719,-7.266146704848646,6.225113939815502,8.005608471357,0.651436848108178,14.474369183208454,-3.140522331534696,-3.140522331534696,7.363890716312598
LGBM_METHOD_B_addend,4,23843,5961,200.0,-5.562626310172452,-7.295491666627379,6.23571861953494,8.017165654956436,0.6504297251307707,14.49717935201427,-3.169867293313429,-3.169867293313429,7.363890716312598
LGBM_tuned_METHOD_B_addend,4,23843,5961,20.0,-7.015450676055495,-9.358127538902048,6.378600802510618,8.320172034563276,0.6235065770611279,14.632961142691128,-3.037716974740487,-3.037716974740487,7.7458077865450745
