method,quantile,MAE,bias,y_mean,n
expanding_historical,P25_below,5.619254659917086,1.1155299796378226,35.326658628081454,3732
expanding_historical,P25_P50,4.535443849323168,-0.574626504466151,48.028459683900344,3733
expanding_historical,P50_P75,5.1944853303475504,-1.0589751278477506,54.62863183409642,3713
expanding_historical,P75_above,7.27320206890725,-6.311367326066265,67.78411922663803,3724
fold_train_bias,P25_below,5.733566720222721,1.0191081536479276,35.326658628081454,3732
fold_train_bias,P25_P50,4.595731939018526,-0.7757809640001488,48.028459683900344,3733
fold_train_bias,P50_P75,5.172479193462926,-1.159238284155725,54.62863183409642,3713
fold_train_bias,P75_above,7.306774393729759,-6.11569672615134,67.78411922663803,3724
linear_calibration,P25_below,5.733654641168278,1.0188219751782135,35.326658628081454,3732
linear_calibration,P25_P50,4.595858766685417,-0.7757398593839547,48.028459683900344,3733
linear_calibration,P50_P75,5.172561311165038,-1.15903789244167,54.62863183409642,3713
linear_calibration,P75_above,7.306528890685126,-6.115244962556483,67.78411922663803,3724
no_correction,P25_below,5.733566720224488,1.0191081536577025,35.326658628081454,3732
no_correction,P25_P50,4.5957319390194655,-0.7757809639886113,48.028459683900344,3733
no_correction,P50_P75,5.17247919346356,-1.1592382841426294,54.62863183409642,3713
no_correction,P75_above,7.306774393724561,-6.115696726140067,67.78411922663803,3724
regime_aware,P25_below,5.692804490986209,1.1050097267412644,35.326658628081454,3732
regime_aware,P25_P50,4.456692902499375,-0.8813264552055623,48.028459683900344,3733
regime_aware,P50_P75,5.2907463193680435,-1.299599397421511,54.62863183409642,3713
regime_aware,P75_above,7.321162841322712,-6.104662690392106,67.78411922663803,3724
