fold,model,order,seasonal,n_mean_params,aic,fit_ok
1,AR1,"(1, 0, 0)","(0, 0, 0, 0)",1,6492.237437007227,True
1,ARMA11,"(1, 0, 1)","(0, 0, 0, 0)",2,6488.164358786432,True
1,SAR_AR1_s24,"(1, 0, 0)","(1, 0, 0, 24)",2,6335.176476396835,True
1,SARIMA1111_s24,"(1, 0, 1)","(1, 0, 1, 24)",4,6329.092069633304,True
2,AR1,"(1, 0, 0)","(0, 0, 0, 0)",1,7070.796152782121,True
2,ARMA11,"(1, 0, 1)","(0, 0, 0, 0)",2,7065.774947394441,True
2,SAR_AR1_s24,"(1, 0, 0)","(1, 0, 0, 24)",2,6873.55370061666,True
2,SARIMA1111_s24,"(1, 0, 1)","(1, 0, 1, 24)",4,6867.36490848108,True
3,AR1,"(1, 0, 0)","(0, 0, 0, 0)",1,6766.930619569348,True
3,ARMA11,"(1, 0, 1)","(0, 0, 0, 0)",2,6761.705236502034,True
3,SAR_AR1_s24,"(1, 0, 0)","(1, 0, 0, 24)",2,6583.516240204021,True
3,SARIMA1111_s24,"(1, 0, 1)","(1, 0, 1, 24)",4,6569.145369703154,True
4,AR1,"(1, 0, 0)","(0, 0, 0, 0)",1,6503.627451682001,True
4,ARMA11,"(1, 0, 1)","(0, 0, 0, 0)",2,6488.23983958688,True
4,SAR_AR1_s24,"(1, 0, 0)","(1, 0, 0, 24)",2,6332.996246966759,True
4,SARIMA1111_s24,"(1, 0, 1)","(1, 0, 1, 24)",4,6285.506866677147,True
