model,protocol,fold,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std,family,n_mean_params,aic
Ridge_METHOD_B,none,1,5.576938959092604,7.342848313782339,0.7498308745777621,13.856886324907139,-1.0825081745266076,-1.0825081745266076,7.262616430137228,,,
AR1_DAM_24,DAM_24,1,5.090221035775446,6.819991374378924,0.7841896607310039,12.805135077142788,-0.6670876739724066,-0.6670876739724066,6.787287851700191,AR1,1.0,6492.237437007227
ARMA11_DAM_24,DAM_24,1,5.1002616283433095,6.830059514035657,0.7835520023116802,12.829131566894048,-0.6826454732135907,-0.6826454732135907,6.795859630920138,ARMA11,2.0,6488.164358786432
SAR_AR1_s24_DAM_24,DAM_24,1,5.2115211773014725,6.938025467545868,0.7766549271420486,12.756620271249666,-0.7411498022174374,-0.7411498022174374,6.8983254749966765,SAR_AR1_s24,2.0,6335.176476396835
SARIMA1111_s24_DAM_24,DAM_24,1,5.169936082914525,6.904444551817858,0.7788117313549254,12.716868691990882,-0.7446954646283337,-0.7446954646283337,6.864166608852767,SARIMA1111_s24,4.0,6329.092069633304
AR1_STEP_1_diagnostic,STEP_1,1,1.9546417219265808,3.2241792776971185,0.951767145886426,5.069248931014718,-0.1348031850188581,-0.1348031850188581,3.221359979269669,AR1,1.0,
Ridge_METHOD_B,none,2,6.198483524775313,8.080877327797035,0.7053690411790103,12.876033664105673,-4.334786592155098,-4.334786592155098,6.8198389707805065,,,
AR1_DAM_24,DAM_24,2,4.93007958263142,6.595900464337001,0.8037048642924032,9.999916890998817,-2.8919701174391794,-2.8919701174391794,5.928103556389672,AR1,1.0,7070.796152782121
ARMA11_DAM_24,DAM_24,2,5.009661503970984,6.7051080488661,0.7971509806905411,10.153607520697618,-3.0057698452586297,-3.0057698452586297,5.993648436829012,ARMA11,2.0,7065.774947394441
SAR_AR1_s24_DAM_24,DAM_24,2,5.298676839564699,7.114889859691048,0.7715991509069545,10.679945837499798,-3.3853420008570154,-3.3853420008570154,6.257884407111393,SAR_AR1_s24,2.0,6873.55370061666
SARIMA1111_s24_DAM_24,DAM_24,2,5.549316532357386,7.45729915072937,0.7490862382074936,11.172545168055272,-3.715627271166181,-3.715627271166181,6.4657114539109415,SARIMA1111_s24,4.0,6867.36490848108
AR1_STEP_1_diagnostic,STEP_1,2,1.9123889648879453,2.713550570262402,0.9667771266736196,4.133242347735049,-0.5237303623515687,-0.5237303623515687,2.6625294749396677,AR1,1.0,
Ridge_METHOD_B,none,3,5.061111215960408,6.451975466943607,0.3457339298411942,9.720026650804071,1.7640966209856852,1.7640966209856852,6.206122020865289,,,
AR1_DAM_24,DAM_24,3,3.984156771258891,5.170978405711509,0.5797435068542153,7.80004423889544,0.9346665252657052,0.9346665252657052,5.08580535990933,AR1,1.0,6766.930619569348
ARMA11_DAM_24,DAM_24,3,4.03681730426532,5.230167015442887,0.5700676754734821,7.894240856161037,0.9871212654054062,0.9871212654054062,5.136169644473514,ARMA11,2.0,6761.705236502034
SAR_AR1_s24_DAM_24,DAM_24,3,4.111756813338546,5.235095420476362,0.569257040195343,8.045938619311448,1.0757064380323875,1.0757064380323875,5.12338557212594,SAR_AR1_s24,2.0,6583.516240204021
SARIMA1111_s24_DAM_24,DAM_24,3,4.245308962385359,5.391955820748715,0.5430574150597723,8.299038464460292,1.2481873128119552,1.2481873128119552,5.245494829378942,SARIMA1111_s24,4.0,6569.145369703154
AR1_STEP_1_diagnostic,STEP_1,3,1.514324772971524,2.286785915641127,0.9178098067907093,3.016381353972986,0.18751936977387912,0.18751936977387912,2.2790845333015257,AR1,1.0,
Ridge_METHOD_B,none,4,5.147556168248194,6.727704795986309,0.7538348126239749,12.020669735187225,-0.006065136464147029,-0.006065136464147029,6.727702062075643,,,
AR1_DAM_24,DAM_24,4,4.114010227415739,5.695388705185137,0.8235833704243597,9.979408796577214,-0.2263255040652976,-0.2263255040652976,5.690890024359987,AR1,1.0,6503.627451682001
ARMA11_DAM_24,DAM_24,4,4.1827373753906825,5.762561170857009,0.819397449792847,10.051100957652604,-0.19514566704040687,-0.19514566704040687,5.759255977685335,ARMA11,2.0,6488.23983958688
SAR_AR1_s24_DAM_24,DAM_24,4,4.235575172290086,5.850109562706372,0.8138681127077022,10.135588137102229,-0.29928669346547054,-0.29928669346547054,5.842448918970797,SAR_AR1_s24,2.0,6332.996246966759
SARIMA1111_s24_DAM_24,DAM_24,4,4.496622229509813,6.133388423865103,0.7954056106623668,10.64680818713039,-0.34256219379691805,-0.34256219379691805,6.12381455478393,SARIMA1111_s24,4.0,6285.506866677147
AR1_STEP_1_diagnostic,STEP_1,4,1.8858165332921872,2.7516554941325695,0.9588205159958996,4.740054397656907,-0.002067522365351059,-0.002067522365351059,2.7516547173911965,AR1,1.0,
