hour,MAE
0,5.939650153070263
1,5.912584788521949
2,5.8442830839726225
3,5.845964358659245
4,5.759639257345123
5,5.705897300873141
6,5.766728746732047
7,5.921772648101658
8,5.866014435186829
9,5.826586162373046
10,5.7412434537215775
11,5.676150028793063
12,5.85253626826971
13,5.71205150339127
14,5.548423147834436
15,5.35134744287903
16,5.285309239909301
17,5.404234331045067
18,5.717355607015064
19,5.86222853541151
20,5.7316198875946345
21,5.508353211258229
22,5.463920267098932
23,5.600476010952355
