fold,alpha,n_train,n_val,train_start,train_end,val_start,val_end,y_mean,y_std,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
1,0.001,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.282325742281426,8.1057719968313,0.6951449709448627,15.429996893735936,-2.545781626650396,-2.545781626650396,7.69561794620963
2,0.001,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,6.572840975727523,8.267299766616308,0.691618212540456,13.715558074252366,-4.85310939747261,-4.85310939747261,6.692949619357454
3,0.001,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,5.007982491790947,6.37359120367953,0.3615345607091246,9.759241342813304,1.0082686738708075,1.0082686738708075,6.293334498730533
4,0.001,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,5.323299578611381,6.910167869448171,0.7403011795216571,12.445649625008997,-1.1958964487851789,-1.1958964487851789,6.805898299837933
1,0.003,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.278850801719789,8.103726632105868,0.6952988023264504,15.424351094600258,-2.5395314576231662,-2.5395314576231662,7.695528916432208
2,0.003,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,6.585849435369699,8.278145762183698,0.690808540318448,13.748151694677505,-4.891558441551564,-4.891558441551564,6.678349591990938
3,0.003,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,5.004815646525165,6.370936961014147,0.362066219955398,9.754739235863882,0.995635215460523,0.995635215460523,6.2926582839807095
4,0.003,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,5.323405700002582,6.910517816203125,0.740274875367427,12.44623154204124,-1.2020859850266947,-1.2020859850266947,6.805163170171837
1,0.01,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.26800160912824,8.097659110478432,0.6957549107490695,15.406935390550828,-2.5196646914186522,-2.5196646914186522,7.695672349595746
2,0.01,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,6.630575169376487,8.315584965232675,0.6880054829581937,13.859706849643832,-5.013706132308498,-5.013706132308498,6.634131754258117
3,0.01,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,4.99451533789481,6.362318032383807,0.36379111114814744,9.740293696575119,0.9535223939538814,0.9535223939538814,6.290459902854847
4,0.01,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,5.323933005510985,6.911863944587993,0.7401736796468972,12.448571875329126,-1.222908299878738,-1.222908299878738,6.802819891676038
1,0.03,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.245216384007438,8.08664351745297,0.6965821030236862,15.371504980886867,-2.4758953235013093,-2.4758953235013093,7.698294988205407
2,0.03,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,6.746593115153615,8.413699184121763,0.6805997054638911,14.148249676530899,-5.282525408488816,-5.282525408488816,6.548683781460307
3,0.03,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,4.969618301091236,6.342409861401063,0.3677663727511543,9.705727018159987,0.8487379601079758,0.8487379601079758,6.285364486254492
4,0.03,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,5.326324632429314,6.916475867414412,0.739826827125424,12.461150871747813,-1.276023253112926,-1.276023253112926,6.797749854329816
1,0.1,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.209471328797491,8.075136320542297,0.6974450087039796,15.321370633458834,-2.396148234745592,-2.396148234745592,7.711439569397337
2,0.1,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,7.020919226754292,8.645785920167041,0.662735751495411,14.83207034161875,-5.772225715125409,-5.772225715125409,6.436693597725747
3,0.1,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,4.9168423325440855,6.3041055071963985,0.375379936785908,9.635952569012403,0.6002974789947454,0.6002974789947454,6.275459280608593
4,0.1,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,5.3378937710261365,6.93560493909031,0.7383857019926905,12.493621114837067,-1.4099770351699048,-1.4099770351699048,6.790771725763382
1,0.3,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.185244172331441,8.07489967790347,0.6974627412498102,15.29437955513337,-2.327517900056498,-2.327517900056498,7.73218372991241
2,0.3,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,7.3132604666659535,8.900252124948247,0.6425906003379085,15.571927589882925,-6.198389702212735,-6.198389702212735,6.387053545035374
3,0.3,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,4.86658737658659,6.274343233200023,0.3812637947284143,9.580306529145185,0.2906780493074798,0.2906780493074798,6.267606343705204
4,0.3,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,5.367670715568674,6.979615317902465,0.7350549831570833,12.58416619229662,-1.5950206690436781,-1.5950206690436781,6.794920091599472
1,1.0,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.175571368421694,8.08057771622832,0.6970371205786686,15.289726245694263,-2.28853244073248,-2.28853244073248,7.749732608014339
2,1.0,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,7.510907256019789,9.078633527508796,0.6281204282604558,16.076666024674395,-6.45951290459363,-6.45951290459363,6.379363585985296
