model,fold,n_train,n_val,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
Ridge_METHOD_B,1,14902,2980,5.576938959092604,7.342848313782339,0.7498308745777621,13.856886324907139,-1.0825081745266076,-1.0825081745266076,7.262616430137228
LGBM_184,1,14902,2980,6.591236822894266,8.551801368454647,0.6606719145403924,15.773861562884262,-3.9725312820721204,-3.9725312820721204,7.5731302549514625
Average,1,14902,2980,5.812442578999494,7.540866696359844,0.7361560598437296,14.19270766554832,-2.527519728299364,-2.527519728299364,7.104668504253139
Stack_RidgeMeta,1,14902,2980,10.47541250891938,12.39345649384444,0.28732833870394137,25.29425483411322,-9.847498791231116,-9.847498791231116,7.524927336627021
Ridge_METHOD_B,2,17882,2980,6.198483524775313,8.080877327797035,0.7053690411790103,12.876033664105673,-4.334786592155098,-4.334786592155098,6.8198389707805065
LGBM_184,2,17882,2980,6.4749621458413875,8.921347792215586,0.6408943056273593,13.065751833174177,-4.757621489485285,-4.757621489485285,7.546885728064109
Average,2,17882,2980,6.069617855103371,8.1445445139384,0.7007081066351384,12.284676443746406,-4.546204040820191,-4.546204040820191,6.757635249016792
Stack_RidgeMeta,2,17882,2980,7.182548310977371,9.125691729769727,0.6242552345015004,15.140633456649907,-6.188141767140741,-6.188141767140741,6.707097063302117
Ridge_METHOD_B,3,20862,2981,5.061111215960408,6.451975466943607,0.3457339298411942,9.720026650804071,1.7640966209856852,1.7640966209856852,6.206122020865289
LGBM_184,3,20862,2981,4.291236022787267,5.669249540353104,0.49485026328636017,8.403366597787418,0.01567882027236815,0.01567882027236815,5.6692278597167665
Average,3,20862,2981,4.448990661602398,5.739436638775784,0.48226501155449986,8.618521925887466,0.8898877206290267,0.8898877206290267,5.670029345179401
Stack_RidgeMeta,3,20862,2981,5.748579917614911,7.099801161819785,0.20775162720743678,10.894369508966678,3.319220411296593,3.319220411296593,6.276141521556829
Ridge_METHOD_B,4,23843,5961,5.147556168248194,6.727704795986309,0.7538348126239749,12.020669735187225,-0.006065136464147029,-0.006065136464147029,6.727702062075643
LGBM_184,4,23843,5961,6.310346085346726,8.268435135684557,0.6281742788043714,14.77107962561294,-3.897876702077782,-3.897876702077782,7.292021448708315
Average,4,23843,5961,5.2934252111294136,6.970948495348497,0.7357125568740268,12.503465464083726,-1.9519709192709647,-1.9519709192709647,6.692079830301036
Stack_RidgeMeta,4,23843,5961,5.216946485313673,6.742486003511589,0.7527519423220703,12.077382933749952,0.8910320908958376,0.8910320908958376,6.683350905088214
