model,family,mean_MAE,std_MAE,mean_RMSE,mean_R2,mean_sMAPE,mean_bias,mean_trees,n_folds
LGBM_nl63_lr0.1_ss0.8,LightGBM,5.859459377967236,1.103850063822133,7.85425625534181,0.6083590818444132,12.830352097858869,-3.196501556779407,87.0,4
LGBM_nl63_lr0.1_ss1.0,LightGBM,6.024530252770888,1.2524874580097751,8.049718894003263,0.5859526076113031,13.053876146409692,-3.1806855664042653,52.75,4
LGBM_nl31_lr0.1_ss0.8,LightGBM,6.0456368245425764,1.2265208945921515,8.040558364180571,0.5888655372982777,13.172339795584774,-3.118168599160418,66.0,4
LGBM_nl31_lr0.1_ss1.0,LightGBM,6.107659644119508,1.2795816934576048,8.110097435493193,0.5822198532433925,13.318540610223415,-3.167031696519601,58.75,4
XGB_d6_lr0.1_ss0.8,XGBoost,6.129207112743126,1.246278936041675,8.134597757207219,0.579005176518578,13.279880532116998,-3.02238953282383,43.75,4
XGB_d6_lr0.1_ss1.0,XGBoost,6.135523178865229,1.2497124186736333,8.176617643862956,0.5696657394958629,13.334322243456194,-3.1400369387291933,60.0,4
XGB_d8_lr0.1_ss1.0,XGBoost,6.1445962861967995,1.3595724442791604,8.194647698932382,0.5804954600536365,13.317037293636542,-3.306058153736191,81.25,4
LGBM_nl15_lr0.1_ss1.0,LightGBM,6.153040306933279,1.3176829836326975,8.106498298653335,0.5814120062663992,13.385135566225822,-3.215734062432566,56.75,4
LGBM_nl63_lr0.05_ss0.8,LightGBM,6.194425851705784,1.4456302459905113,8.188513170952044,0.5743059392897926,13.348633636394002,-3.353162936813159,99.5,4
LGBM_nl31_lr0.05_ss1.0,LightGBM,6.20534051342581,1.4225471271719405,8.147657791584132,0.5796536550543858,13.446955180806505,-3.3056067594351273,107.0,4
LGBM_nl63_lr0.05_ss1.0,LightGBM,6.21134899289839,1.432779040068528,8.210762913765635,0.5712791646025387,13.441306163907486,-3.328554118395248,143.0,4
LGBM_nl31_lr0.05_ss0.8,LightGBM,6.228024285654765,1.4911688861626253,8.220858022666484,0.5716691512306172,13.459021383684794,-3.3114205431545836,147.0,4
XGB_d8_lr0.1_ss0.8,XGBoost,6.235089726405436,1.296164845343115,8.276716684278412,0.5677995652833605,13.450459915741328,-3.276652278926973,70.0,4
LGBM_nl15_lr0.1_ss0.8,LightGBM,6.238281877400808,1.3160775272058314,8.15854032313776,0.5786816365141062,13.58696948138435,-3.211691596022769,50.75,4
XGB_d4_lr0.1_ss0.8,XGBoost,6.248601421289255,1.1749524676669534,8.191385760704147,0.5690544225402356,13.6133647827461,-3.003702176538607,73.0,4
LGBM_nl15_lr0.05_ss1.0,LightGBM,6.264759933408217,1.3906787019599745,8.188720944708324,0.5737928717643502,13.590292810265199,-3.2168697275637106,123.0,4
XGB_d6_lr0.05_ss0.8,XGBoost,6.306293877132719,1.528932283406026,8.341150923010918,0.5627458646642024,13.556826038166035,-3.324735723695988,121.5,4
XGB_d8_lr0.05_ss1.0,XGBoost,6.3105856623565995,1.4919615196944525,8.416626975174669,0.5563595271004727,13.518897584666206,-3.5053735171382736,130.25,4
XGB_d4_lr0.1_ss1.0,XGBoost,6.319145267456992,1.2245633042822257,8.370876489722907,0.5566534063880124,13.688620543931206,-2.936298417973159,66.25,4
XGB_d6_lr0.05_ss1.0,XGBoost,6.320035306400249,1.4531637041625753,8.442225245880067,0.5522781879825617,13.568389717977851,-3.339331978472909,157.0,4
XGB_d8_lr0.05_ss0.8,XGBoost,6.376098316088842,1.4592360964816804,8.463497243224229,0.5498818059496768,13.622816849882469,-3.4550785241719715,137.5,4
LGBM_nl15_lr0.05_ss0.8,LightGBM,6.432041578092787,1.536424610062868,8.506887513196759,0.5437703806405866,13.808992816779858,-3.2689553174634964,91.75,4
XGB_d4_lr0.05_ss1.0,XGBoost,6.522804241055074,1.4600323335189422,8.644217079436359,0.5293753652807474,13.913964165093004,-3.113964302725579,108.5,4
XGB_d4_lr0.05_ss0.8,XGBoost,6.5605228650656855,1.3915926185312384,8.691532506960073,0.5220540285357572,13.992753897605299,-3.1401783442521216,89.75,4
