model,family,fold,n_trees,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std,num_leaves,min_child_samples
XGB_d4_lr0.05_ss0.8,XGBoost,1,186,4.0,0.05,0.8,0.8,1.0,7.013805709064407,8.94952220422951,0.6283755354280298,16.628444206379747,-4.051563670926447,-4.051563670926447,7.979898464543646,,
XGB_d4_lr0.05_ss1.0,XGBoost,1,237,4.0,0.05,1.0,0.8,1.0,6.983145676836871,8.974743475666113,0.6262779824173201,16.526444239362377,-3.9975589574135393,-3.9975589574135393,8.035268684743171,,
XGB_d4_lr0.1_ss0.8,XGBoost,1,153,4.0,0.1,0.8,0.8,1.0,6.881612228924796,8.853164199290461,0.6363348915754795,16.529940357889977,-4.273975863187904,-4.273975863187904,7.753170103930748,,
XGB_d4_lr0.1_ss1.0,XGBoost,1,137,4.0,0.1,1.0,0.8,1.0,6.84561205611133,8.875659901011582,0.6344844129511702,16.39824763114776,-3.828994336499464,-3.828994336499464,8.007255525426922,,
XGB_d6_lr0.05_ss0.8,XGBoost,1,250,6.0,0.05,0.8,0.8,1.0,6.916892145169662,8.925618984288993,0.6303580230531625,16.33293136231261,-4.203543601375299,-4.203543601375299,7.873810732043086,,
XGB_d6_lr0.05_ss1.0,XGBoost,1,442,6.0,0.05,1.0,0.8,1.0,6.833326074933046,8.995597185649716,0.6245392040185977,16.22774576269994,-4.261519823893605,-4.261519823893605,7.922134656582839,,
XGB_d6_lr0.1_ss0.8,XGBoost,1,86,6.0,0.1,0.8,0.8,1.0,6.776735920515637,8.674487557380877,0.6508659120379872,16.242523358088977,-3.864961769232014,-3.864961769232014,7.7658743812613,,
XGB_d6_lr0.1_ss1.0,XGBoost,1,136,6.0,0.1,1.0,0.8,1.0,6.6315852348148425,8.616921476722863,0.6554844194281018,15.926373762617521,-3.6834961341883514,-3.6834961341883514,7.78994171771697,,
XGB_d8_lr0.05_ss0.8,XGBoost,1,250,8.0,0.05,0.8,0.8,1.0,7.083049297780799,9.121409543991486,0.6139633768329145,16.580317336534257,-4.292807374339776,-4.292807374339776,8.048100205392142,,
XGB_d8_lr0.05_ss1.0,XGBoost,1,308,8.0,0.05,1.0,0.8,1.0,6.935273859740904,8.994930876871265,0.6245948231295795,16.194673686977712,-4.217252912572566,-4.217252912572566,7.945033628065414,,
XGB_d8_lr0.1_ss0.8,XGBoost,1,152,8.0,0.1,0.8,0.8,1.0,6.907142978885829,8.803402717883607,0.640411548479817,16.233718799884574,-3.912928128837739,-3.912928128837739,7.885993461307894,,
XGB_d8_lr0.1_ss1.0,XGBoost,1,155,8.0,0.1,1.0,0.8,1.0,6.85891789675719,8.83615218488231,0.6377311679453065,16.15277120684081,-4.043436751064838,-4.043436751064838,7.856729897007956,,
LGBM_nl15_lr0.05_ss0.8,LightGBM,1,145,,0.05,0.8,0.8,,6.999552016082191,9.01486566092571,0.6229290151477833,16.58897055288418,-4.32000766322123,-4.32000766322123,7.912353421975498,15.0,20.0
LGBM_nl15_lr0.05_ss1.0,LightGBM,1,145,,0.05,1.0,0.8,,6.981091832553008,9.06138426862282,0.6190274430029443,16.389133292032575,-4.098316339213537,-4.098316339213537,8.081614198127777,15.0,20.0
LGBM_nl15_lr0.1_ss0.8,LightGBM,1,64,,0.1,0.8,0.8,,6.879345060889096,8.846193580565702,0.6369073361368163,16.27944078620866,-3.961575995650245,-3.961575995650245,7.90955475962646,15.0,20.0
LGBM_nl15_lr0.1_ss1.0,LightGBM,1,84,,0.1,1.0,0.8,,6.7368085486500755,8.675292509075923,0.6508011130251443,16.0179798799359,-3.9491312199931627,-3.9491312199931627,7.724316327371901,15.0,20.0
LGBM_nl31_lr0.05_ss0.8,LightGBM,1,255,,0.05,0.8,0.8,,6.628247016807933,8.68264341883788,0.6502090829503999,15.800066824202233,-3.918285582556421,-3.918285582556421,7.748247210319198,31.0,20.0
LGBM_nl31_lr0.05_ss1.0,LightGBM,1,138,,0.05,1.0,0.8,,6.757061975588082,8.725799531327576,0.6467232478253454,15.969277550329823,-4.126492083363514,-4.126492083363514,7.688409493962636,31.0,20.0
LGBM_nl31_lr0.1_ss0.8,LightGBM,1,83,,0.1,0.8,0.8,,6.582243266992286,8.718142545106685,0.6473429843582774,15.741126103643532,-4.115175373136085,-4.115175373136085,7.685788253987586,31.0,20.0
LGBM_nl31_lr0.1_ss1.0,LightGBM,1,124,,0.1,1.0,0.8,,6.84080488450054,8.826999161003043,0.638481299409519,16.39648528864923,-3.9748936847195733,-3.9748936847195733,7.881378964592736,31.0,20.0
LGBM_nl63_lr0.05_ss0.8,LightGBM,1,161,,0.05,0.8,0.8,,6.579695171740876,8.504005596746909,0.6644543048909437,15.714667900704923,-4.007392681516912,-4.007392681516912,7.500594315494436,63.0,20.0
LGBM_nl63_lr0.05_ss1.0,LightGBM,1,282,,0.05,1.0,0.8,,6.442687605844172,8.460388943923572,0.6678874747845512,15.486784919898664,-3.795896295898913,-3.795896295898913,7.561041753174302,63.0,20.0
LGBM_nl63_lr0.1_ss0.8,LightGBM,1,83,,0.1,0.8,0.8,,6.611943815796448,8.628270683417718,0.6545763100926401,15.707811470840566,-4.086822060751233,-4.086822060751233,7.599009174233355,63.0,20.0
LGBM_nl63_lr0.1_ss1.0,LightGBM,1,113,,0.1,1.0,0.8,,6.463338975103071,8.327173599851355,0.6782638696766268,15.456655447545224,-3.5045525717276385,-3.5045525717276385,7.553802448704795,63.0,20.0
XGB_d4_lr0.05_ss0.8,XGBoost,2,82,4.0,0.05,0.8,0.8,1.0,6.800747128275417,9.911861257995776,0.556726488828859,13.288261375671617,-4.730468719943258,-4.730468719943258,8.710204319497679,,
XGB_d4_lr0.05_ss1.0,XGBoost,2,97,4.0,0.05,1.0,0.8,1.0,6.762207482728383,9.790765005553242,0.5674915418634998,13.23824342315384,-4.563162235631238,-4.563162235631238,8.662368602482516,,
XGB_d4_lr0.1_ss0.8,XGBoost,2,84,4.0,0.1,0.8,0.8,1.0,6.460843062970462,8.896802788527392,0.6428675781916513,12.977093744129146,-4.257990712313044,-4.257990712313044,7.811697315680161,,
XGB_d4_lr0.1_ss1.0,XGBoost,2,63,4.0,0.1,1.0,0.8,1.0,6.777141060374728,9.66656127476217,0.578395373926075,13.390135588516202,-4.32091577039629,-4.32091577039629,8.647085855007585,,
XGB_d6_lr0.05_ss0.8,XGBoost,2,152,6.0,0.05,0.8,0.8,1.0,6.519807651660585,9.164494791525101,0.6210530564203414,13.060746877119502,-4.52350236300014,-4.52350236300014,7.970313115293706,,
XGB_d6_lr0.05_ss1.0,XGBoost,2,105,6.0,0.05,1.0,0.8,1.0,6.648783597152505,9.49763455763068,0.5930020128433465,13.112400639218402,-4.612642639941017,-4.612642639941017,8.302324377335452,,
XGB_d6_lr0.1_ss0.8,XGBoost,2,40,6.0,0.1,0.8,0.8,1.0,6.440777956149723,9.192306431159025,0.6187495737477501,12.636332031685724,-3.98827663398589,-3.98827663398589,8.282037612516001,,
XGB_d6_lr0.1_ss1.0,XGBoost,2,64,6.0,0.1,1.0,0.8,1.0,6.485613958473974,9.079309003865225,0.6280650883897068,12.955673478980739,-4.3665993293915815,-4.3665993293915815,7.960317976326395,,
XGB_d8_lr0.05_ss0.8,XGBoost,2,207,8.0,0.05,0.8,0.8,1.0,6.6713058564358905,9.480353642451233,0.594481728475799,13.110937690817833,-4.856545719069922,-4.856545719069922,8.141932747482135,,
