hour,MAE
0,5.950378432713313
1,5.918874086970075
2,5.853565297316966
3,5.856084037563651
4,5.765716549856719
5,5.709464051618438
6,5.772324547750692
7,5.923155259775846
8,5.86747974678943
9,5.826307224908195
10,5.743207873335481
11,5.685444126746792
12,5.864177069808712
13,5.724207914420139
14,5.558610542788018
15,5.3587812823846
16,5.29054011400255
17,5.404510703223379
18,5.716631917438323
19,5.864632016477792
20,5.7362307678537094
21,5.517506403771788
22,5.472243557864806
23,5.614070464992775
