model,reg_lambda,mean_MAE,std_MAE,mean_RMSE,mean_R2,mean_sMAPE,mean_bias,n_folds,source
Ridge_a0.001,,5.796612197102819,0.6489241888808512,7.414207709143827,0.6221497309290251,12.837611483952651,-1.8966296997593448,4.0,locked_ridge_tuning_csv
Ridge_a0.01,,5.80425628047763,0.6678797568735525,7.421856513170726,0.621931296125577,12.863876953024723,-1.9506891824130017,4.0,locked_walk_forward_csv
LightGBM,,5.916945269217412,0.943894418091452,7.852708459176974,0.6061476905646208,13.0035149048647,-3.1530876633407043,4.0,locked_walk_forward_csv
XGBoost,,5.945953023720335,0.960482656412196,7.905744590312022,0.6013872045379008,13.056313024010391,-3.0690633497151163,4.0,locked_walk_forward_csv
XGB_gblinear_l2_0.001,0.001,6.013411691953039,1.1571310041129945,7.660519984229792,0.6044588799004541,13.495616403315807,-2.669435415235342,4.0,this_run_dev_folds_only
HistGradientBoosting,,6.014534180649052,1.0049719844200748,7.934272954249263,0.6000532041851263,13.240264029602514,-3.1856228606354824,4.0,locked_walk_forward_csv
XGB_gblinear_l2_0.01,0.01,6.051261119854847,1.137279942367968,7.723668315596687,0.5989928457631892,13.542570220866828,-2.7366689617223887,4.0,this_run_dev_folds_only
RandomForest,,6.297255921427849,1.013860352924091,8.552030288828718,0.5328002937519999,13.702563124254302,-3.199364430287273,4.0,locked_walk_forward_csv
XGB_gblinear_l2_0.1,0.1,6.337212205461691,1.2646115951312746,8.117134012049366,0.5672480171029497,13.98991373870357,-3.1254754426875384,4.0,this_run_dev_folds_only
XGB_gblinear_l2_1.0,1.0,6.840508766942152,1.6758068128444683,9.01452675008302,0.4814262664798562,14.682416845666765,-3.459764396940394,4.0,this_run_dev_folds_only
Naive Lag-24,,7.351456021707257,1.0113641071743555,10.777186688934698,0.2270053995444772,16.592994206196806,-0.0021304128280211,4.0,locked_walk_forward_csv
XGB_gblinear_l2_10.0,10.0,8.191681923328286,2.3236363473758384,10.991734837833315,0.25328976484207993,17.119898206287733,-4.231206216242061,4.0,this_run_dev_folds_only
