model,reg_lambda,fold,n_train,n_val,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
XGB_gblinear_l2_0.001,0.001,1,14902,2980,6.132522658629757,8.041027496682279,0.6999955538448066,15.204148875395292,-2.141105345918078,-2.141105345918078,7.750728423837432
XGB_gblinear_l2_0.01,0.01,1,14902,2980,6.191991499700403,8.13397142083768,0.6930201418834023,15.305557316287969,-2.3938274104975217,-2.3938274104975217,7.773743075491683
XGB_gblinear_l2_0.1,0.1,1,14902,2980,6.388098782750584,8.429986083640925,0.6702701142607028,15.539138987636564,-2.9811761345191288,-2.9811761345191288,7.885255495248918
XGB_gblinear_l2_1.0,1.0,1,14902,2980,6.712755188103491,8.997786551891535,0.6243564209954247,15.713915126992239,-3.0757632915957664,-3.0757632915957664,8.455757979476004
XGB_gblinear_l2_10.0,10.0,1,14902,2980,9.027415452253098,11.674659293513463,0.36759830225075796,20.456019286006207,-3.426922190544589,-3.426922190544589,11.160370689165003
XGB_gblinear_l2_0.001,0.001,2,17882,2980,7.567968569173108,9.133263110565567,0.6236314819217719,16.24905023661534,-6.5009335306922855,-6.5009335306922855,6.415166270357968
XGB_gblinear_l2_0.01,0.01,2,17882,2980,7.563028845153399,9.18023797609623,0.6197499936767191,16.16658779120761,-6.458677930025446,-6.458677930025446,6.5239749151848825
XGB_gblinear_l2_0.1,0.1,2,17882,2980,7.974945597283791,9.861906357303464,0.5611833476475896,16.715128048809976,-6.768241916592489,-6.768241916592489,7.172732976955361
XGB_gblinear_l2_1.0,1.0,2,17882,2980,8.795952875226936,11.491067007293346,0.40422528799224156,17.731748250723296,-7.0907692192640885,-7.0907692192640885,9.042434011107993
XGB_gblinear_l2_10.0,10.0,2,17882,2980,9.790702051713161,13.568087873783085,0.16938714845424907,19.0183713711741,-6.862367469377967,-6.862367469377967,11.704739265183253
XGB_gblinear_l2_0.001,0.001,3,20862,2981,4.872078222142334,6.321250475717274,0.371977819290903,9.65071407103465,-0.12233804108351908,-0.12233804108351908,6.3200665329140095
XGB_gblinear_l2_0.01,0.01,3,20862,2981,4.901287405634038,6.339393241866799,0.3683676441266216,9.678979889417523,-0.02893853127096601,-0.02893853127096601,6.339327191148468
XGB_gblinear_l2_0.1,0.1,3,20862,2981,4.906707435385248,6.31093580808638,0.3740256909874201,9.58153643701676,0.22387992152508707,0.22387992152508707,6.306963497161277
XGB_gblinear_l2_1.0,1.0,3,20862,2981,4.719460857945455,6.418187318627627,0.35256859772560545,9.07838541801486,0.06293082937543254,0.06293082937543254,6.417878790356406
XGB_gblinear_l2_10.0,10.0,3,20862,2981,4.740638933818398,7.065109274046421,0.21547506671854666,9.282324983416993,-1.5985245585833487,-1.5985245585833487,6.881895690129475
XGB_gblinear_l2_0.001,0.001,4,23843,5961,5.481077317866958,7.146538853954046,0.7222306645443348,12.87855243021795,-1.9133647432474852,-1.9133647432474852,6.885641070399494
XGB_gblinear_l2_0.01,0.01,4,23843,5961,5.548736728931549,7.24107062358604,0.7148336033660139,13.019155886554215,-2.065231975095621,-2.065231975095621,6.940311280108649
XGB_gblinear_l2_0.1,0.1,4,23843,5961,6.079097006427143,7.865707799166698,0.6635129155160864,14.123851481350988,-2.9763636411636236,-2.9763636411636236,7.280839145141927
XGB_gblinear_l2_1.0,1.0,4,23843,5961,7.133866146492729,9.151066122519572,0.5445547592061533,16.20561858693666,-3.7354559062771537,-3.7354559062771537,8.353943999751525
XGB_gblinear_l2_10.0,10.0,4,23843,5961,9.20797125552849,11.65908290999029,0.26069854194476605,19.72287718455363,-5.037010646462341,-5.037010646462341,10.51488174205743
