model,reg_lambda,learning_rate,feature_selector,mean_MAE,std_MAE,mean_RMSE,mean_R2,mean_sMAPE,mean_bias,mean_rounds,n_folds,source
Ridge_a0.001,,,,5.796612197102819,0.6489241888808512,7.414207709143827,0.6221497309290251,12.837611483952651,-1.8966296997593448,,4.0,locked_ridge_tuning_csv
Ridge_a0.01,,,,5.80425628047763,0.6678797568735525,7.421856513170726,0.621931296125577,12.863876953024723,-1.9506891824130017,,4.0,locked_walk_forward_csv
LightGBM,,,,5.916945269217412,0.943894418091452,7.852708459176974,0.6061476905646208,13.0035149048647,-3.1530876633407043,,4.0,locked_walk_forward_csv
XGBoost,,,,5.945953023720335,0.960482656412196,7.905744590312022,0.6013872045379008,13.056313024010391,-3.0690633497151163,,4.0,locked_walk_forward_csv
coarse_XGB_gblinear_l2_0.001,,,,6.013411691953039,1.1571310041129943,7.660519984229792,0.6044588799004541,13.495616403315807,-2.669435415235342,,4.0,coarse_gblinear_csv
gblin_1e-06_eta1p0_cyclic,1e-06,1.0,cyclic,6.025908499826451,1.1952052350402345,7.670544459155341,0.6026959003936113,13.529205767217501,-2.650200699252262,121.75,4.0,this_run_dev_folds_only
gblin_1e-05_eta1p0_cyclic,1e-05,1.0,cyclic,6.025972788801149,1.1951890983896776,7.670633550526816,0.6026889494226284,13.529319803099224,-2.6503258720362326,121.75,4.0,this_run_dev_folds_only
gblin_1e-04_eta1p0_cyclic,0.0001,1.0,cyclic,6.0262397806652155,1.195374583473873,7.671105059338782,0.6026970056296374,13.529853349673097,-2.652295823864428,122.0,4.0,this_run_dev_folds_only
gblin_1e-03_eta1p0_cyclic,0.001,1.0,cyclic,6.033316017183514,1.1952706069346954,7.680599256463339,0.6019023431046506,13.542676488521355,-2.664397606203034,121.25,4.0,this_run_dev_folds_only
gblin_3e-03_eta1p0_cyclic,0.003,1.0,cyclic,6.047169146510821,1.1953133253113772,7.699417527111638,0.6003981276443351,13.567052564408955,-2.6923334381487103,120.25,4.0,this_run_dev_folds_only
gblin_1e-06_eta1p0_shuffle,1e-06,1.0,shuffle,6.071255833752564,0.9644288552111071,7.793458332840841,0.5894690673577426,13.629923795995321,-2.964211422392146,10.25,4.0,this_run_dev_folds_only
gblin_1e-05_eta1p0_shuffle,1e-05,1.0,shuffle,6.071288537716498,0.9644694190792741,7.793493171806039,0.5894673631133932,13.629971916734183,-2.9642435523011743,10.25,4.0,this_run_dev_folds_only
gblin_1e-04_eta1p0_shuffle,0.0001,1.0,shuffle,6.0716012630302565,0.9648711526579895,7.793827757508316,0.5894521244773003,13.630413837370078,-2.964548968498682,10.25,4.0,this_run_dev_folds_only
gblin_1e-03_eta1p0_shuffle,0.001,1.0,shuffle,6.074674000598806,0.9688002724173991,7.797127108647937,0.5893009206798565,13.634732853423042,-2.9675093974129214,10.25,4.0,this_run_dev_folds_only
gblin_1e-02_eta1p0_cyclic,0.01,1.0,cyclic,6.074824914502813,1.1955793183342174,7.74620582144882,0.5966780224633255,13.600975341936937,-2.7929585717960976,65.5,4.0,this_run_dev_folds_only
gblin_3e-03_eta1p0_shuffle,0.003,1.0,shuffle,6.081504972876457,0.9774016555410526,7.804488255755281,0.5889516750834987,13.644399107716136,-2.973971099207673,10.25,4.0,this_run_dev_folds_only
gblin_1e-02_eta1p0_shuffle,0.01,1.0,shuffle,6.105283677499588,1.005895660152822,7.830471894098999,0.5876032073269791,13.678684350173219,-2.9954047781186777,10.25,4.0,this_run_dev_folds_only
gblin_1e-06_eta0p3_shuffle,1e-06,0.3,shuffle,6.163725060621026,1.214790916736349,7.963910042527424,0.5748594193992869,13.663971740734905,-2.831837791977782,93.0,4.0,this_run_dev_folds_only
gblin_1e-05_eta0p3_shuffle,1e-05,0.3,shuffle,6.163748557202458,1.2147904847656614,7.963940443515505,0.5748578588522174,13.664010847342654,-2.8318916554973854,93.0,4.0,this_run_dev_folds_only
