model,fold,n_rounds,reg_lambda,learning_rate,feature_selector,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
gblin_1e-06_eta0p1_cyclic,1,15,1e-06,0.1,cyclic,6.362420797140006,8.576205429511626,0.6587324871435679,15.38627189371555,-2.8967520509342215,-2.8967520509342215,8.072182302487542
gblin_1e-06_eta0p1_shuffle,1,12,1e-06,0.1,shuffle,6.390777010668044,8.643671731289785,0.6533420802334473,15.400624615661373,-3.1259018563136154,-3.1259018563136154,8.05864744128897
gblin_1e-06_eta0p3_cyclic,1,10,1e-06,0.3,cyclic,6.347406569928932,8.42380528212917,0.6707534478830477,15.489131846705561,-2.877641762938275,-2.877641762938275,7.917049533470205
gblin_1e-06_eta0p3_shuffle,1,10,1e-06,0.3,shuffle,6.344469768090536,8.432374378736291,0.6700832565807233,15.561555843368085,-2.9737585600542538,-2.9737585600542538,7.890608195169261
gblin_1e-06_eta1p0_cyclic,1,81,1e-06,1.0,cyclic,6.110842459527438,8.016571387074924,0.7018176553797433,15.166597903261781,-2.086190191546543,-2.086190191546543,7.740363511409743
gblin_1e-06_eta1p0_shuffle,1,10,1e-06,1.0,shuffle,6.258315273368918,8.215653002815843,0.6868237836512852,15.49909680401424,-2.7357836379052802,-2.7357836379052802,7.746769788063069
gblin_1e-05_eta0p1_cyclic,1,15,1e-05,0.1,cyclic,6.362418897791996,8.576206406692885,0.6587324093748532,15.386258998613577,-2.896751689626066,-2.896751689626066,8.072183470341134
gblin_1e-05_eta0p1_shuffle,1,12,1e-05,0.1,shuffle,6.390774038436429,8.64366982650751,0.6533422330175439,15.40060900461727,-3.125890843775448,-3.125890843775448,8.058649669918477
gblin_1e-05_eta0p3_cyclic,1,10,1e-05,0.3,cyclic,6.347395273248622,8.423795786572516,0.6707541901550784,15.489095597306068,-2.8776278215718745,-2.8776278215718745,7.9170444974366765
gblin_1e-05_eta0p3_shuffle,1,10,1e-05,0.3,shuffle,6.344470786889928,8.43237862960323,0.6700829239502049,15.561543129001464,-2.973761830549112,-2.973761830549112,7.890611505337113
gblin_1e-05_eta1p0_cyclic,1,81,1e-05,1.0,cyclic,6.110902896497073,8.016662631961847,0.7018108674980312,15.166691691365713,-2.0864610097104275,-2.0864610097104275,7.740385016887182
